Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
190,3/24/17,Butler,N,UNC,L 80-92,200,27,62,0.435,19,34,0.559,8,28,0.286,18,21,0.857,80
191,3/23/18,Kansas,N,Clemson,W 80-76,200,28,60,0.467,18,38,0.474,10,22,0.455,14,22,0.636,80
192,3/17/11,Florida,N,UCSB,W 79-51,200,29,53,0.547,21,30,0.7,8,23,0.348,13,17,0.765,79
193,3/15/12,Vanderbilt,N,Harvard,W 79-70,200,25,46,0.543,17,28,0.607,8,18,0.444,21,30,0.7,79
194,3/15/12,Indiana,N,New Mexico St.,W 79-66,200,32,54,0.593,25,41,0.61,7,13,0.538,8,10,0.8,79
195,3/16/12,NC State,N,San Diego State,W 79-65,200,31,53,0.585,28,44,0.636,3,9,0.333,14,21,0.667,79
196,3/21/13,Louisville,N,N.C. A&T,W 79-48,200,31,54,0.574,27,38,0.711,4,16,0.25,13,22,0.591,79
197,3/22/13,Florida,N,NW St.,W 79-47,200,29,61,0.475,22,40,0.55,7,21,0.333,14,23,0.609,79
198,3/31/13,Michigan,N,Florida,W 79-59,200,30,65,0.462,20,46,0.435,10,19,0.526,9,13,0.692,79
199,3/21/14,UNC,N,Providence,W 79-77,200,33,71,0.465,29,56,0.518,4,15,0.267,9,13,0.692,79
